id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,actual_hidden_size,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss
17,25779,12,1,16,192,399,relu,0.564396811,0.165424226,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.143362,107.007615,122.3484407
39,30505,17,1,7,119,373,silu,0.378787593,0.216034672,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.007153,98.10123935,98.80295752
48,21968,13,1,14,182,240,silu,0.112817534,0.130325327,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.909798,46.47897222,42.28647597
52,21738,17,1,14,238,1860,silu,0.265633655,0.426066094,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.061999,57.15689326,60.70056349
68,22968,2,2,9,18,1240,gelu_new,0.991994212,0.310650359,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.988196,2115.401695,2090.431493
71,30310,3,1,16,48,855,relu,0.351575084,0.172734312,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.751917,182.819623,137.4651825
72,16937,30,2,3,90,2614,gelu_new,0.450371987,0.110582952,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.042272,103.5443476,107.9213743
78,23692,1,2,9,9,1264,relu,0.880103521,0.309099176,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.777511,1873.193486,1456.42854
80,23956,51,3,1,51,945,relu,0.392555074,0.510007077,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.199987,139.3097679,167.1699105
81,23004,5,1,11,55,496,relu,0.331225406,0.466098344,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.72,151.5627908,109.1252094
88,22016,17,1,14,238,236,silu,0.110783534,0.130056256,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.007982,37.25551546,37.55288898
97,24062,28,1,9,252,691,silu,0.177644476,0.181595086,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.156406,31.77881904,36.74921701
99,16084,61,1,3,183,1041,gelu,0.264598216,0.218123648,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.942262,54.87731186,51.70880563
100,7699,11,3,2,22,1480,silu,0.574451427,0.4422889,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.903656,540.9895702,488.868471
103,22083,2,1,8,16,618,silu,0.721644664,0.10021536,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.588684,1274.870648,750.4959525
108,23546,29,1,7,203,1217,silu,0.37518479,0.202724309,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.076559,60.46108893,65.08992944
119,2653,44,1,4,176,919,gelu,0.320409034,0.337783839,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.175674,61.35029625,72.12794819
120,30334,4,1,16,64,408,relu,0.353621861,0.199900222,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.939072,141.4717429,132.8521525
129,22760,48,3,1,48,800,gelu_new,0.129409427,0.527121045,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.18321,81.99842174,97.02135259
131,18441,52,2,3,156,922,gelu,0.406975527,0.364800977,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.171925,56.46381554,66.17135703
139,13561,24,1,1,24,342,silu,0.297983695,0.38783038,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.78328,473.1441032,370.6043132
142,21145,14,3,4,56,1079,silu,0.101586594,0.514779339,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.103416,59.51926252,65.67450657
153,22077,17,1,14,238,442,silu,0.115148608,0.130981683,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.2285,37.08824229,45.56290565
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
