id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,actual_hidden_size,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss
10,18785,20,3,7,140,198,gelu_new,0.128818607,0.101197983,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.737614,23.66033459,41.11252863
24,6255,47,2,5,235,732,gelu,0.171968887,0.152876283,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.802911,23.48589434,42.34297725
29,17091,58,2,5,290,730,gelu,0.140380156,0.288205092,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.862567,17.61939,32.81729437
31,5198,60,2,6,360,318,gelu,0.151181192,0.341737568,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.154704,17.63172789,37.99115461
46,19866,58,4,4,232,571,gelu,0.197999319,0.296226982,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.717595,17.17921117,46.68613838
48,21968,13,1,14,182,240,silu,0.112817534,0.130325327,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.909798,46.47897222,42.28647597
58,11271,59,2,5,295,700,gelu,0.334579449,0.289552014,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.630936,27.19409897,44.351835
62,19936,44,4,4,176,1152,gelu,0.100539059,0.294839074,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.525023,15.7163253,39.68408286
66,20336,39,1,8,312,2488,silu,0.283583289,0.56726554,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.334278,34.62236983,46.19586637
75,28612,34,3,13,442,285,gelu,0.22056774,0.221833347,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.938911,16.86094499,49.5528167
84,15327,55,2,3,165,813,gelu,0.205833225,0.198801929,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.394674,33.09227925,46.15294147
86,19767,53,1,7,371,650,gelu,0.244057505,0.177976799,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.460814,31.85836548,46.53914631
88,22016,17,1,14,238,236,silu,0.110783534,0.130056256,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.007982,37.25551546,37.55288898
92,18745,15,3,7,105,494,gelu_new,0.184324497,0.263095026,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.390995,33.42151987,46.48916703
97,24062,28,1,9,252,691,silu,0.177644476,0.181595086,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.156406,31.77881904,36.74921701
106,18433,54,2,3,162,922,gelu,0.157731455,0.354798596,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.269727,29.00882227,36.83328487
110,19251,21,2,17,357,127,relu,0.277595207,0.307031661,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.899009,23.43896949,44.51081401
111,27662,27,1,15,405,210,gelu,0.245624512,0.213741976,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.59847,29.27693486,46.79830207
125,21317,45,2,5,225,1648,gelu,0.258993868,0.337838582,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.827775,26.88853533,49.14619266
127,18021,87,1,6,522,1124,gelu,0.152024438,0.359252876,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.137183,22.94041036,49.02785503
136,23510,27,2,9,243,1179,gelu,0.175542388,0.130649128,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.854669,19.3888857,35.95996525
147,28040,42,1,8,336,522,silu,0.21728662,0.397885925,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.282888,30.43216171,39.04105507
153,22077,17,1,14,238,442,silu,0.115148608,0.130981683,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.2285,37.08824229,45.56290565
