id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,actual_hidden_size,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss
1,29917,43,7,18,774,301,gelu,0.304325119,0.996837527,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,8.14949,15.98738542,130.2890376
7,5393,15,4,14,210,755,gelu_new,0.304606595,0.853279469,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.627882,23.16864834,84.05312228
10,18785,20,3,7,140,198,gelu_new,0.128818607,0.101197983,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.737614,23.66033459,41.11252863
23,17556,32,3,13,416,521,gelu_new,0.242992707,0.724245803,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.657099,16.11740913,58.94296081
24,6255,47,2,5,235,732,gelu,0.171968887,0.152876283,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.802911,23.48589434,42.34297725
25,12221,65,3,6,390,868,silu,0.159336959,0.473769061,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.636627,14.31631792,52.06310829
29,17091,58,2,5,290,730,gelu,0.140380156,0.288205092,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.862567,17.61939,32.81729437
31,5198,60,2,6,360,318,gelu,0.151181192,0.341737568,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.154704,17.63172789,37.99115461
46,19866,58,4,4,232,571,gelu,0.197999319,0.296226982,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.717595,17.17921117,46.68613838
49,28071,23,4,17,391,2380,relu,0.397096923,0.278319612,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.845954,23.215032,89.28394518
62,19936,44,4,4,176,1152,gelu,0.100539059,0.294839074,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.525023,15.7163253,39.68408286
63,17829,46,3,8,368,916,silu,0.312753848,0.378138071,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,2.275436,24.12382641,54.89222307
70,12972,47,7,7,329,45,silu,0.270526303,0.195472868,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.490692,18.40826963,82.66586916
75,28612,34,3,13,442,285,gelu,0.22056774,0.221833347,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.938911,16.86094499,49.5528167
87,10429,43,5,8,344,1432,silu,0.153617462,0.887193168,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.665315,13.65901851,50.06460543
101,25454,16,10,14,224,1417,gelu_new,0.12668259,0.54248873,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,5.496772,13.62082675,74.8705791
110,19251,21,2,17,357,127,relu,0.277595207,0.307031661,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.899009,23.43896949,44.51081401
114,28912,34,3,13,442,1006,gelu,0.22680967,0.224972539,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.427492,15.51643834,53.18246828
117,11561,49,6,16,784,60,gelu,0.325618181,0.111785407,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,6.553731,18.2871751,119.8492264
127,18021,87,1,6,522,1124,gelu,0.152024438,0.359252876,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.137183,22.94041036,49.02785503
133,6848,37,4,12,444,3038,gelu_new,0.162386735,0.227951564,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,4.52023,13.12737835,59.33876944
136,23510,27,2,9,243,1179,gelu,0.175542388,0.130649128,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.854669,19.3888857,35.95996525
148,30362,75,1,16,1200,429,relu,0.34877713,0.295822609,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.43436,24.74194546,84.97274781
