id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,actual_hidden_size,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss
1,29917,43,7,18,774,301,gelu,0.304325119,0.996837527,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,8.14949,15.98738542,130.2890376
5,13036,83,10,18,1494,24,gelu,0.493731065,0.158849998,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,14.441776,2092.469026,30218.96896
16,25085,34,11,2,68,2286,silu,0.399825462,0.270277975,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.8142,81.9164643,394.3622424
21,24183,5,12,6,30,720,silu,0.298766092,0.906358959,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,5.548957,128.4834369,712.9490666
28,30475,30,12,15,450,1503,silu,0.648777532,0.532251976,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,8.224758,2101.275878,17282.48559
30,4528,81,1,16,1296,366,gelu,0.505744333,0.271916557,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.843386,39.33835511,190.5308384
34,29914,60,5,17,1020,260,gelu,0.582616818,0.416815448,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,7.52519,2102.747286,15823.57285
47,25358,99,4,17,1683,1622,relu,0.387598636,0.187241524,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,9.807575,2090.586651,20503.58537
51,14966,73,7,12,876,1765,gelu_new,0.339727929,0.400187339,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,7.058813,2106.746303,14871.12819
54,29462,67,11,11,737,355,silu,0.429357497,0.272100071,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,6.370276,2105.272097,13411.16431
56,1464,59,9,10,590,1632,relu,0.640613016,0.830735647,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,6.331349,426.6226931,2701.097161
64,6215,92,7,9,828,1571,gelu_new,0.787960424,0.455656686,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,5.675795,2105.272097,11949.09284
82,9348,77,7,7,539,1321,gelu,0.193349264,0.116533454,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,6.081406,2099.805499,12769.76976
83,20743,50,12,15,750,657,gelu,0.479930039,0.37829724,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,9.614967,2104.009313,20229.98011
90,20580,42,11,5,210,2169,gelu,0.251921922,0.356237404,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,4.860675,2107.378422,10243.28161
101,25454,16,10,14,224,1417,gelu_new,0.12668259,0.54248873,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,5.496772,13.62082675,74.8705791
113,1811,98,1,18,1764,1332,gelu,0.445939905,0.241304278,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,6.532831,828.8175115,5414.524732
117,11561,49,6,16,784,60,gelu,0.325618181,0.111785407,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,6.553731,18.2871751,119.8492264
121,14665,74,7,10,740,2081,gelu_new,0.340895921,0.417201827,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,8.124213,2103.167877,17086.58381
123,20557,69,3,13,897,866,gelu,0.262743011,0.981660787,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,4.801039,1598.786207,7675.834932
137,26207,12,8,15,180,502,gelu,0.389978535,0.35279731,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,5.564655,25.66684292,142.8271258
149,15913,41,9,13,533,1084,gelu_new,0.317675883,0.981485448,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,6.296549,2101.486016,13232.10967
151,25094,16,10,17,272,2548,relu,0.442303356,0.669619103,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,5.429023,31.24002,169.6027871
