id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,actual_hidden_size,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss
3,9619,5,8,3,15,422,gelu,0.184472473,0.719148235,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.856231,979.3606884,1817.91967
5,13036,83,10,18,1494,24,gelu,0.493731065,0.158849998,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,14.441776,2092.469026,30218.96896
6,17774,56,4,11,616,1575,relu,0.740415414,0.608032113,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,4.325102,1169.93094,5060.070648
15,2768,93,4,4,372,1687,gelu_new,0.880874412,0.561397523,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,2.293917,1787.905318,4101.306403
28,30475,30,12,15,450,1503,silu,0.648777532,0.532251976,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,8.224758,2101.275878,17282.48559
34,29914,60,5,17,1020,260,gelu,0.582616818,0.416815448,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,7.52519,2102.747286,15823.57285
47,25358,99,4,17,1683,1622,relu,0.387598636,0.187241524,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,9.807575,2090.586651,20503.58537
51,14966,73,7,12,876,1765,gelu_new,0.339727929,0.400187339,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,7.058813,2106.746303,14871.12819
54,29462,67,11,11,737,355,silu,0.429357497,0.272100071,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,6.370276,2105.272097,13411.16431
56,1464,59,9,10,590,1632,relu,0.640613016,0.830735647,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,6.331349,426.6226931,2701.097161
64,6215,92,7,9,828,1571,gelu_new,0.787960424,0.455656686,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,5.675795,2105.272097,11949.09284
68,22968,2,2,9,18,1240,gelu_new,0.991994212,0.310650359,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.988196,2115.401695,2090.431493
82,9348,77,7,7,539,1321,gelu,0.193349264,0.116533454,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,6.081406,2099.805499,12769.76976
83,20743,50,12,15,750,657,gelu,0.479930039,0.37829724,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,9.614967,2104.009313,20229.98011
90,20580,42,11,5,210,2169,gelu,0.251921922,0.356237404,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,4.860675,2107.378422,10243.28161
95,28853,9,6,2,18,774,silu,0.824391233,0.489828161,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.355159,1179.092083,2776.949331
104,344,90,4,5,450,1951,relu,0.631703531,0.94687449,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,2.4472,2104.219724,5149.446509
113,1811,98,1,18,1764,1332,gelu,0.445939905,0.241304278,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,6.532831,828.8175115,5414.524732
121,14665,74,7,10,740,2081,gelu_new,0.340895921,0.417201827,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,8.124213,2103.167877,17086.58381
123,20557,69,3,13,897,866,gelu,0.262743011,0.981660787,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,4.801039,1598.786207,7675.834932
134,22593,30,2,9,270,1278,relu,0.97516875,0.125614381,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.788237,2102.537021,3759.834495
140,10248,69,5,8,552,1284,gelu_new,0.196629445,0.113394839,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,3.347471,2101.696175,7035.366997
149,15913,41,9,13,533,1084,gelu_new,0.317675883,0.981485448,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,6.296549,2101.486016,13232.10967
