id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,actual_hidden_size,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss
0,24782,36,2,9,324,2807,gelu_new,0.465306267,0.323172058,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.334242,36.61653814,85.47186122
1,29917,43,7,18,774,301,gelu,0.304325119,0.996837527,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,8.14949,15.98738542,130.2890376
2,28349,27,1,14,378,108,gelu,0.249364384,0.220066441,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.758225,31.09975682,54.68036993
4,28248,25,1,16,400,1903,silu,0.234663592,0.260524618,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.972906,26.53593892,52.35291311
7,5393,15,4,14,210,755,gelu_new,0.304606595,0.853279469,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.627882,23.16864834,84.05312228
8,30072,17,6,11,187,237,silu,0.458222606,0.457001172,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.400164,34.3705468,151.2360427
9,3657,11,2,10,110,1240,relu,0.531617351,0.604581639,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.411503,96.90198464,136.777442
10,18785,20,3,7,140,198,gelu_new,0.128818607,0.101197983,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.737614,23.66033459,41.11252863
11,29209,51,2,3,153,979,gelu,0.403991521,0.793115615,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.48162,54.8718244,81.29919247
12,26536,18,1,11,198,624,relu,0.371738099,0.241068571,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.250592,59.17504998,74.0038441
13,29103,23,4,9,207,1403,gelu,0.820501196,0.231177173,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.785947,149.0676158,415.294477
14,14808,78,8,3,234,637,relu,0.11720893,0.411681329,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,2.477637,28.83529045,71.44338252
16,25085,34,11,2,68,2286,silu,0.399825462,0.270277975,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.8142,81.9164643,394.3622424
17,25779,12,1,16,192,399,relu,0.564396811,0.165424226,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.143362,107.007615,122.3484407
18,24452,40,1,11,440,693,silu,0.210421687,0.178008511,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.043399,25.81614316,52.75268112
19,19408,10,5,5,50,713,gelu_new,0.417028164,0.649251507,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.533142,111.4972581,282.4383874
20,30417,28,2,18,504,60,relu,0.549644201,0.404676063,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.167997,42.22447377,133.7670062
21,24183,5,12,6,30,720,silu,0.298766092,0.906358959,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,5.548957,128.4834369,712.9490666
23,17556,32,3,13,416,521,gelu_new,0.242992707,0.724245803,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.657099,16.11740913,58.94296081
24,6255,47,2,5,235,732,gelu,0.171968887,0.152876283,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.802911,23.48589434,42.34297725
25,12221,65,3,6,390,868,silu,0.159336959,0.473769061,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.636627,14.31631792,52.06310829
26,21346,14,3,4,56,1415,silu,0.122353933,0.165544506,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.415798,61.64548556,87.27755516
27,23275,25,4,6,150,364,relu,0.372619126,0.556156094,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.423842,36.16168019,87.65019924
29,17091,58,2,5,290,730,gelu,0.140380156,0.288205092,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.862567,17.61939,32.81729437
30,4528,81,1,16,1296,366,gelu,0.505744333,0.271916557,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.843386,39.33835511,190.5308384
31,5198,60,2,6,360,318,gelu,0.151181192,0.341737568,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.154704,17.63172789,37.99115461
32,9374,37,5,8,296,1780,gelu_new,0.196238636,0.148403028,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,2.613271,29.49438777,77.07682822
33,16891,37,5,6,222,287,silu,0.772798058,0.517508406,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.507065,94.39612277,331.0533383
35,27939,24,4,14,336,2892,relu,0.41277008,0.184726572,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.02638,27.17235239,109.4062162
36,19453,21,4,5,105,1104,silu,0.259744572,0.673093674,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.815689,42.78981042,77.69298809
38,27547,22,1,12,264,576,gelu,0.660818606,0.145884037,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.39385,581.3773327,810.3527952
39,30505,17,1,7,119,373,silu,0.378787593,0.216034672,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.007153,98.10123935,98.80295752
40,29363,9,2,18,162,92,relu,0.535446032,0.954221269,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.712634,76.08871788,130.3121253
41,25696,85,1,4,340,468,silu,0.180710028,0.191894896,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.785595,32.03086599,57.19415416
42,8346,64,3,4,256,1033,gelu,0.518839512,0.638147722,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.669636,44.52718938,74.34419837
43,26964,80,6,2,160,795,silu,0.680243597,0.502786169,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.477419,98.85953458,343.7760239
46,19866,58,4,4,232,571,gelu,0.197999319,0.296226982,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.717595,17.17921117,46.68613838
48,21968,13,1,14,182,240,silu,0.112817534,0.130325327,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.909798,46.47897222,42.28647597
49,28071,23,4,17,391,2380,relu,0.397096923,0.278319612,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.845954,23.215032,89.28394518
50,12168,67,2,2,134,576,gelu,0.213442576,0.322383982,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.25949,41.12022118,51.79050737
52,21738,17,1,14,238,1860,silu,0.265633655,0.426066094,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.061999,57.15689326,60.70056349
53,26671,32,1,11,352,404,gelu,0.359286268,0.142409052,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.390202,39.84512245,55.39276892
55,29437,9,2,18,162,1,relu,0.53469309,0.202741063,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.416448,81.88370427,115.9840091
57,23458,7,9,10,70,378,silu,0.284479326,0.246025116,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.161742,53.46354394,222.5014763
58,11271,59,2,5,295,700,gelu,0.334579449,0.289552014,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.630936,27.19409897,44.351835
59,13130,76,1,4,304,7,relu,0.226234375,0.321454899,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.302611,41.0052456,53.41388398
60,11528,4,11,8,32,521,relu,0.407491109,0.820559202,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,3.829025,120.7231612,462.2520023
62,19936,44,4,4,176,1152,gelu,0.100539059,0.294839074,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.525023,15.7163253,39.68408286
63,17829,46,3,8,368,916,silu,0.312753848,0.378138071,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,2.275436,24.12382641,54.89222307
66,20336,39,1,8,312,2488,silu,0.283583289,0.56726554,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.334278,34.62236983,46.19586637
67,15637,18,4,6,108,1564,relu,0.143968671,0.224911331,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.264914,25.13094612,56.9194317
69,15862,13,3,12,156,2979,silu,0.474502492,0.544491666,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.131094,56.00830593,119.3589647
70,12972,47,7,7,329,45,silu,0.270526303,0.195472868,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.490692,18.40826963,82.66586916
71,30310,3,1,16,48,855,relu,0.351575084,0.172734312,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.751917,182.819623,137.4651825
72,16937,30,2,3,90,2614,gelu_new,0.450371987,0.110582952,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.042272,103.5443476,107.9213743
74,17661,34,9,10,340,160,gelu_new,0.315920967,0.433972459,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,3.6345,48.22608224,175.2776959
75,28612,34,3,13,442,285,gelu,0.22056774,0.221833347,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.938911,16.86094499,49.5528167
76,10794,70,5,5,350,1790,silu,0.604204301,0.895189501,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.002342,45.70921872,182.9439259
77,12430,48,2,7,336,112,relu,0.558846659,0.127579775,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.775544,56.11482288,99.63433708
79,16960,32,5,7,224,1099,relu,0.229187797,0.580599013,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.756963,38.06137544,66.87242838
80,23956,51,3,1,51,945,relu,0.392555074,0.510007077,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.199987,139.3097679,167.1699105
81,23004,5,1,11,55,496,relu,0.331225406,0.466098344,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.72,151.5627908,109.1252094
84,15327,55,2,3,165,813,gelu,0.205833225,0.198801929,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.394674,33.09227925,46.15294147
85,24010,14,3,14,196,1972,relu,0.492206627,0.60384757,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.266459,46.65126296,105.7331748
