id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
140,10248,69,5,8,1284,gelu_new,0.196629445,0.113394839,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.210558,2263.694004,2740.332887,7.724753273,38:55.5
141,27197,3,10,15,166,silu,0.355907586,0.828286734,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.945912,692.8740381,1348.271905,6.540848219,04:23.0
142,21145,14,3,4,1079,silu,0.101586594,0.514779339,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.406366,435.8653566,177.1208615,6.077333381,10:46.5
143,24442,5,7,13,1210,gelu,0.165202876,0.282303157,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.234364,538.6683971,664.9128773,6.289100163,17:22.3
144,26913,48,1,7,269,silu,0.329837346,0.157877579,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.478509,982.0595933,469.9243539,6.889651992,54:35.0
145,16400,72,6,5,967,gelu,0.771927203,0.37205152,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.300261,2319.366677,3015.782035,7.749049443,47:42.0
146,14176,54,4,2,1016,silu,0.108533173,0.504482297,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.607038,370.3944361,224.8434977,5.914568481,12:34.3
147,28040,42,1,8,522,silu,0.21728662,0.397885925,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.511011,480.4892545,245.5352944,6.174804865,57:20.4
148,30362,75,1,16,429,relu,0.34877713,0.295822609,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.034796,1745.797956,1806.544742,7.464967012,30:15.2
149,15913,41,9,13,1084,gelu_new,0.317675883,0.981485448,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.892778,2270.551725,4297.650353,7.727778132,18:38.6
150,14370,19,5,8,1065,gelu_new,0.291440887,0.327187809,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.578558,1223.260765,707.7273016,7.10927533,07:07.4
151,25094,16,10,17,2548,relu,0.442303356,0.669619103,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.601637,2332.157522,3735.269778,7.754549093,15:59.8
152,26451,21,2,11,524,silu,0.376878299,0.240249391,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.439625,1137.708289,500.1650065,7.036771245,14:26.5
153,22077,17,1,14,442,silu,0.115148608,0.130981683,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.359407,791.3810922,284.4279042,6.673779637,14:00.6
