id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
98,29706,26,2,12,1157,relu,0.596079433,0.203503354,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.634989,731.4846234,464.4846895,6.5950762,13:33.8
99,16084,61,1,3,1041,gelu,0.264598216,0.218123648,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.368974,612.3237061,225.9315271,6.417261074,25:30.1
100,7699,11,3,2,1480,silu,0.574451427,0.4422889,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.291251,2216.403753,645.5298096,7.70364123,54:57.3
101,25454,16,10,14,1417,gelu_new,0.12668259,0.54248873,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.509514,2316.511338,3496.806296,7.747817599,06:32.1
102,22371,55,4,1,794,relu,0.134338682,0.138151118,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.754843,527.6346989,398.2813591,6.268404186,32:35.3
103,22083,2,1,8,618,silu,0.721644664,0.10021536,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.217018,2328.782984,505.3878256,7.753101086,20:26.4
104,344,90,4,5,1951,relu,0.631703531,0.94687449,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.958702,2284.610089,2190.260262,7.733950649,06:02.1
105,1107,7,6,16,4,gelu_new,0.713775152,0.340771442,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.94538,959.7441201,907.3228962,6.866666707,21:11.1
106,18433,54,2,3,922,gelu,0.157731455,0.354798596,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.463194,338.1229114,156.6165038,5.823409473,23:17.8
107,24817,29,2,10,731,relu,0.518378315,0.261301496,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.590613,491.3459379,290.1952984,6.197148438,21:20.0
108,23546,29,1,7,1217,silu,0.37518479,0.202724309,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.384543,494.3529487,190.0999659,6.203249733,01:14.6
109,28375,62,2,14,114,gelu,0.354515447,0.317284077,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.151686,2001.222863,2304.780355,7.601513704,27:52.3
110,19251,21,2,17,127,relu,0.277595207,0.307031661,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.69933,383.4726785,268.1739482,5.949268376,18:22.5
111,27662,27,1,15,210,gelu,0.245624512,0.213741976,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.58121,411.9634582,239.4372815,6.020934652,53:26.9
