id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
0,24782,36,2,9,2807,gelu_new,0.46530626700000005,0.323172058,512,1,0.02,1e-12,False,relative_key_query,True,0.23616199999999998,1757.3751487287232,415.02522987407275,7.47157658203125,2021-04-08 11:33:57.601319
1,29917,43,7,18,301,gelu,0.304325119,0.9968375270000001,512,1,0.02,1e-12,False,relative_key_query,True,0.78193,2504.188819983745,1958.1003640098895,7.82572013671875,2021-04-08 13:28:27.141510
2,28349,27,1,14,108,gelu,0.249364384,0.220066441,512,1,0.02,1e-12,False,relative_key_query,True,0.171888,1072.1926121204801,184.2970437121651,6.977461000976563,2021-04-08 13:51:51.738796
3,9619,5,8,3,422,gelu,0.184472473,0.719148235,512,1,0.02,1e-12,False,absolute,True,0.199899,2487.9197711859524,497.3326743403007,7.81920220703125,2021-04-08 14:37:50.325472
4,28248,25,1,16,1903,silu,0.234663592,0.260524618,512,1,0.02,1e-12,False,relative_key_query,True,0.194937,1609.0165103727918,313.6568514825409,7.383378408203125,2021-04-08 15:03:53.201486
5,13036,83,10,18,24,gelu,0.493731065,0.15884999800000002,512,1,0.02,1e-12,False,relative_key,True,1.463493,2507.180090560064,3669.2405122740197,7.8269139306640625,2021-04-08 18:14:42.017629
6,17774,56,4,11,1575,relu,0.7404154140000001,0.6080321129999999,512,1,0.02,1e-12,False,absolute,True,0.41309399999999996,2526.9364631211897,1043.8622912965848,7.834762963867187,2021-04-08 19:18:18.160346
7,5393,15,4,14,755,gelu_new,0.304606595,0.8532794690000001,512,1,0.02,1e-12,False,relative_key_query,True,0.355294,871.9759138168398,309.80781032364035,6.770761801757812,2021-04-08 20:25:40.010222
8,30072,17,6,11,237,silu,0.45822260600000003,0.457001172,512,1,0.02,1e-12,False,relative_key_query,True,0.42133000000000004,1098.0835519726568,462.65554295263945,7.001321713867188,2021-04-08 21:48:24.216066
9,3657,11,2,10,1240,relu,0.531617351,0.604581639,512,1,0.02,1e-12,False,relative_key_query,True,0.141612,1542.2030447388968,218.39445757156463,7.340967221679687,2021-04-08 22:11:38.705424
10,18785,20,3,7,198,gelu_new,0.128818607,0.101197983,512,1,0.02,1e-12,False,relative_key_query,True,0.178627,713.5275891515822,127.45529266737968,6.570221103515625,2021-04-08 22:40:13.955725
11,29209,51,2,3,979,gelu,0.403991521,0.793115615,512,1,0.02,1e-12,False,relative_key_query,True,0.151911,1010.2919415832582,153.4744591378543,6.917994619140625,2021-04-08 23:03:22.846692
12,26536,18,1,11,624,relu,0.371738099,0.241068571,512,1,0.02,1e-12,False,relative_key_query,True,0.129608,1088.0078554373722,141.0145221275269,6.9921036474609375,2021-04-08 23:22:35.890326
13,29103,23,4,9,1403,gelu,0.8205011959999999,0.231177173,512,1,0.02,1e-12,False,relative_key_query,True,0.332225,2557.054812034506,849.5175349281637,7.8466114111328125,2021-04-09 00:23:14.679113
14,14808,78,8,3,637,relu,0.11720893,0.411681329,512,1,0.02,1e-12,False,absolute,True,0.269509,2049.1507895439627,552.2645801392039,7.625180737304688,2021-04-09 01:13:44.797346
15,2768,93,4,4,1687,gelu_new,0.880874412,0.561397523,512,1,0.02,1e-12,False,absolute,True,0.255836,2577.353607512538,659.3798375315778,7.85451841796875,2021-04-09 01:53:48.806308
16,25085,34,11,2,2286,silu,0.399825462,0.270277975,512,1,0.02,1e-12,False,relative_key_query,True,0.568731,2581.275134362717,1468.0511884412424,7.856038793945313,2021-04-09 03:58:42.833972
17,25779,12,1,16,399,relu,0.564396811,0.165424226,512,1,0.02,1e-12,False,relative_key,True,0.112845,1575.0392762986032,177.73530713391585,7.36203548828125,2021-04-09 04:16:17.051616
18,24452,40,1,11,693,silu,0.210421687,0.178008511,512,1,0.02,1e-12,False,relative_key_query,True,0.200407,1558.0896197339932,312.2520664220304,7.351215747070312,2021-04-09 04:44:26.456089
19,19408,10,5,5,713,gelu_new,0.417028164,0.649251507,512,1,0.02,1e-12,False,relative_key_query,True,0.28174,2006.2782249162308,565.2488270878987,7.604036655273437,2021-04-09 05:43:40.597648
